country,countryCode,region,regionCode,city,cityCode,district,districtCode,street,streetCode,
苏丹,SD,,,,,,,,,
苏里南,SR,,,,,,,,,
圣皮埃尔和密克隆,PM,,,,,,,,,
斯威士兰,SZ,,,,,,,,,
瑞典,SE,,,,,,,,,
瑞士,CH,,,,,,,,,
叙利亚,SY,,,,,,,,,
塔吉克斯坦,TJ,,,,,,,,,
坦桑尼亚,TZ,,,,,,,,,
泰国,TH,,,,,,,,,
东帝汶,TL,,,,,,,,,
多哥,TG,,,,,,,,,
托克劳,TK,,,,,,,,,
汤加,TO,,,,,,,,,
千里达及托巴哥,TT,,,,,,,,,
突尼西亚,TN,,,,,,,,,
土耳其,TR,,,,,,,,,
土库曼斯坦,TM,,,,,,,,,
特克斯和凯科斯群岛,TC,,,,,,,,,
图瓦卢,TV,,,,,,,,,
乌干达,UG,,,,,,,,,
乌克兰,UA,,,,,,,,,
阿联酋,AE,,,,,,,,,
英国,GB,,,,,,,,,
美国,US,,,,,,,,,
美国本土外小岛屿,UM,,,,,,,,,
乌拉圭,UY,,,,,,,,,
乌兹别克斯坦,UZ,,,,,,,,,
瓦努阿图,VU,,,,,,,,,
委内瑞拉,VE,,,,,,,,,
越南,VN,,,,,,,,,
美属维尔京群岛,VI,,,,,,,,,
瓦利斯和富图纳,WF,,,,,,,,,
巴勒斯坦,PS,,,,,,,,,
西撒哈拉,EH,,,,,,,,,
联合国,UN,,,,,,,,,
欧盟,EU,,,,,,,,,
非盟,AU,,,,,,,,,
东盟,ASEAN,,,,,,,,,
叶门,YE,,,,,,,,,
扎伊尔,ZA,,,,,,,,,
尚比亚,ZM,,,,,,,,,
辛巴威,ZW,,,,,,,,,
罗德西亚,RO,,,,,,,,,
西印度群岛联邦,WI,,,,,,,,,
独联体,EN,,,,,,,,,
澳大拉西亚,AZ,,,,,,,,,
南斯拉夫,YG,,,,,,,,,
苏联,UR,,,,,,,,,
达荷美,DH,,,,,,,,,
上沃尔特,VL,,,,,,,,,
波希米亚,BO,,,,,,,,,
捷克斯洛伐克,TC,,,,,,,,,
阿拉伯联合共和国,UA,,,,,,,,,
塞尔维亚和黑山,SG,,,,,,,,,
中国,CN,北京,110000,,,,,,,
中国,CN,天津,120000,,,,,,,
中国,CN,河北省,130000,,,,,,,
中国,CN,山西省,140000,,,,,,,
中国,CN,内蒙古自治区,150000,,,,,,,
中国,CN,辽宁省,210000,,,,,,,
中国,CN,吉林省,220000,,,,,,,
中国,CN,黑龙江省,230000,,,,,,,
中国,CN,上海,310000,,,,,,,
中国,CN,江苏省,320000,,,,,,,
中国,CN,浙江省,330000,,,,,,,
中国,CN,安徽省,340000,,,,,,,
中国,CN,福建省,350000,,,,,,,
中国,CN,江西省,360000,,,,,,,
中国,CN,山东省,370000,,,,,,,
中国,CN,河南省,410000,,,,,,,
中国,CN,湖北省,420000,,,,,,,
中国,CN,湖南省,430000,,,,,,,
中国,CN,广东省,440000,,,,,,,
中国,CN,广西壮族自治区,450000,,,,,,,
中国,CN,海南省,460000,,,,,,,
中国,CN,重庆,500000,,,,,,,
中国,CN,四川省,510000,,,,,,,
中国,CN,贵州省,520000,,,,,,,
中国,CN,云南省,530000,,,,,,,
中国,CN,西藏自治区,540000,,,,,,,
中国,CN,陕西省,610000,,,,,,,
中国,CN,甘肃省,620000,,,,,,,
中国,CN,青海省,630000,,,,,,,
中国,CN,宁夏回族自治区,640000,,,,,,,
中国,CN,新疆维吾尔自治区,650000,,,,,,,
中国,CN,北京,110000,北京市,110100,,,,,
中国,CN,天津,120000,天津市,120100,,,,,
中国,CN,河北省,130000,石家庄市,130100,,,,,
中国,CN,河北省,130000,唐山市,130200,,,,,
中国,CN,河北省,130000,秦皇岛市,130300,,,,,
中国,CN,河北省,130000,邯郸市,130400,,,,,
中国,CN,河北省,130000,邢台市,130500,,,,,
中国,CN,河北省,130000,保定市,130600,,,,,
中国,CN,河北省,130000,张家口市,130700,,,,,
中国,CN,河北省,130000,承德市,130800,,,,,
中国,CN,河北省,130000,沧州市,130900,,,,,
中国,CN,河北省,130000,廊坊市,131000,,,,,
中国,CN,河北省,130000,衡水市,131100,,,,,
中国,CN,山西省,140000,太原市,140100,,,,,
中国,CN,山西省,140000,大同市,140200,,,,,
中国,CN,山西省,140000,阳泉市,140300,,,,,
中国,CN,山西省,140000,长治市,140400,,,,,
中国,CN,山西省,140000,晋城市,140500,,,,,
中国,CN,山西省,140000,朔州市,140600,,,,,
中国,CN,山西省,140000,晋中市,140700,,,,,
中国,CN,山西省,140000,运城市,140800,,,,,
中国,CN,山西省,140000,忻州市,140900,,,,,
中国,CN,山西省,140000,临汾市,141000,,,,,
中国,CN,山西省,140000,吕梁市,141100,,,,,
中国,CN,内蒙古自治区,150000,呼和浩特市,150100,,,,,
中国,CN,内蒙古自治区,150000,包头市,150200,,,,,
中国,CN,内蒙古自治区,150000,乌海市,150300,,,,,
中国,CN,内蒙古自治区,150000,赤峰市,150400,,,,,
中国,CN,内蒙古自治区,150000,通辽市,150500,,,,,
中国,CN,内蒙古自治区,150000,鄂尔多斯市,150600,,,,,
中国,CN,内蒙古自治区,150000,呼伦贝尔市,150700,,,,,
中国,CN,内蒙古自治区,150000,巴彦淖尔市,150800,,,,,
中国,CN,内蒙古自治区,150000,乌兰察布市,150900,,,,,
中国,CN,内蒙古自治区,150000,兴安盟,152200,,,,,
中国,CN,内蒙古自治区,150000,锡林郭勒盟,152500,,,,,
中国,CN,内蒙古自治区,150000,阿拉善盟,152900,,,,,
中国,CN,辽宁省,210000,沈阳市,210100,,,,,
中国,CN,辽宁省,210000,大连市,210200,,,,,
中国,CN,辽宁省,210000,鞍山市,210300,,,,,
中国,CN,辽宁省,210000,抚顺市,210400,,,,,
中国,CN,辽宁省,210000,本溪市,210500,,,,,
中国,CN,辽宁省,210000,丹东市,210600,,,,,
中国,CN,辽宁省,210000,锦州市,210700,,,,,
中国,CN,辽宁省,210000,营口市,210800,,,,,
中国,CN,辽宁省,210000,阜新市,210900,,,,,
中国,CN,辽宁省,210000,辽阳市,211000,,,,,
中国,CN,辽宁省,210000,盘锦市,211100,,,,,
中国,CN,辽宁省,210000,铁岭市,211200,,,,,
中国,CN,辽宁省,210000,朝阳市,211300,,,,,
中国,CN,辽宁省,210000,葫芦岛市,211400,,,,,
中国,CN,吉林省,220000,长春市,220100,,,,,
中国,CN,吉林省,220000,吉林市,220200,,,,,
中国,CN,吉林省,220000,四平市,220300,,,,,
中国,CN,吉林省,220000,辽源市,220400,,,,,
中国,CN,吉林省,220000,通化市,220500,,,,,
中国,CN,吉林省,220000,白山市,220600,,,,,
中国,CN,吉林省,220000,松原市,220700,,,,,
中国,CN,吉林省,220000,白城市,220800,,,,,
中国,CN,吉林省,220000,延边朝鲜族自治州,222400,,,,,
中国,CN,黑龙江省,230000,哈尔滨市,230100,,,,,
中国,CN,黑龙江省,230000,齐齐哈尔市,230200,,,,,
中国,CN,黑龙江省,230000,鸡西市,230300,,,,,
中国,CN,黑龙江省,230000,鹤岗市,230400,,,,,
中国,CN,黑龙江省,230000,双鸭山市,230500,,,,,
中国,CN,黑龙江省,230000,大庆市,230600,,,,,
中国,CN,黑龙江省,230000,伊春市,230700,,,,,
中国,CN,黑龙江省,230000,佳木斯市,230800,,,,,
中国,CN,黑龙江省,230000,七台河市,230900,,,,,
中国,CN,黑龙江省,230000,牡丹江市,231000,,,,,
中国,CN,黑龙江省,230000,黑河市,231100,,,,,
中国,CN,黑龙江省,230000,绥化市,231200,,,,,
中国,CN,黑龙江省,230000,大兴安岭地区,232700,,,,,
中国,CN,上海,310000,上海市,310100,,,,,
中国,CN,江苏省,320000,南京市,320100,,,,,
中国,CN,江苏省,320000,无锡市,320200,,,,,
中国,CN,江苏省,320000,徐州市,320300,,,,,
中国,CN,江苏省,320000,常州市,320400,,,,,
中国,CN,江苏省,320000,苏州市,320500,,,,,
中国,CN,江苏省,320000,南通市,320600,,,,,
中国,CN,江苏省,320000,连云港市,320700,,,,,
中国,CN,江苏省,320000,淮安市,320800,,,,,
中国,CN,江苏省,320000,盐城市,320900,,,,,
中国,CN,江苏省,320000,扬州市,321000,,,,,
中国,CN,江苏省,320000,镇江市,321100,,,,,
中国,CN,江苏省,320000,泰州市,321200,,,,,
中国,CN,江苏省,320000,宿迁市,321300,,,,,
中国,CN,浙江省,330000,杭州市,330100,,,,,
中国,CN,浙江省,330000,宁波市,330200,,,,,
中国,CN,浙江省,330000,温州市,330300,,,,,
中国,CN,浙江省,330000,嘉兴市,330400,,,,,
中国,CN,浙江省,330000,湖州市,330500,,,,,
中国,CN,浙江省,330000,绍兴市,330600,,,,,
中国,CN,浙江省,330000,金华市,330700,,,,,
中国,CN,浙江省,330000,衢州市,330800,,,,,
中国,CN,浙江省,330000,舟山市,330900,,,,,
中国,CN,浙江省,330000,台州市,331000,,,,,
中国,CN,浙江省,330000,丽水市,331100,,,,,
中国,CN,安徽省,340000,合肥市,340100,,,,,
中国,CN,安徽省,340000,芜湖市,340200,,,,,
中国,CN,安徽省,340000,蚌埠市,340300,,,,,
中国,CN,安徽省,340000,淮南市,340400,,,,,
中国,CN,安徽省,340000,马鞍山市,340500,,,,,
中国,CN,安徽省,340000,淮北市,340600,,,,,
中国,CN,安徽省,340000,铜陵市,340700,,,,,
中国,CN,安徽省,340000,安庆市,340800,,,,,
中国,CN,安徽省,340000,黄山市,341000,,,,,
中国,CN,安徽省,340000,滁州市,341100,,,,,
中国,CN,安徽省,340000,阜阳市,341200,,,,,
中国,CN,安徽省,340000,宿州市,341300,,,,,
中国,CN,安徽省,340000,六安市,341500,,,,,
中国,CN,安徽省,340000,亳州市,341600,,,,,
中国,CN,安徽省,340000,池州市,341700,,,,,
中国,CN,安徽省,340000,宣城市,341800,,,,,
中国,CN,福建省,350000,福州市,350100,,,,,
中国,CN,福建省,350000,厦门市,350200,,,,,
中国,CN,福建省,350000,莆田市,350300,,,,,
中国,CN,福建省,350000,三明市,350400,,,,,
中国,CN,福建省,350000,泉州市,350500,,,,,
中国,CN,福建省,350000,漳州市,350600,,,,,
中国,CN,福建省,350000,南平市,350700,,,,,
中国,CN,福建省,350000,龙岩市,350800,,,,,
中国,CN,福建省,350000,宁德市,350900,,,,,
中国,CN,江西省,360000,南昌市,360100,,,,,
中国,CN,江西省,360000,景德镇市,360200,,,,,
中国,CN,江西省,360000,萍乡市,360300,,,,,
中国,CN,江西省,360000,九江市,360400,,,,,
中国,CN,江西省,360000,新余市,360500,,,,,
中国,CN,江西省,360000,鹰潭市,360600,,,,,
中国,CN,江西省,360000,赣州市,360700,,,,,
中国,CN,江西省,360000,吉安市,360800,,,,,
中国,CN,江西省,360000,宜春市,360900,,,,,
中国,CN,江西省,360000,抚州市,361000,,,,,
中国,CN,江西省,360000,上饶市,361100,,,,,
中国,CN,山东省,370000,济南市,370100,,,,,
中国,CN,山东省,370000,青岛市,370200,,,,,
中国,CN,山东省,370000,淄博市,370300,,,,,
中国,CN,山东省,370000,枣庄市,370400,,,,,
中国,CN,山东省,370000,东营市,370500,,,,,
中国,CN,山东省,370000,烟台市,370600,,,,,
中国,CN,山东省,370000,潍坊市,370700,,,,,
中国,CN,山东省,370000,济宁市,370800,,,,,
中国,CN,山东省,370000,泰安市,370900,,,,,
中国,CN,山东省,370000,威海市,371000,,,,,
中国,CN,山东省,370000,日照市,371100,,,,,
中国,CN,山东省,370000,莱芜市,371200,,,,,
中国,CN,山东省,370000,临沂市,371300,,,,,
中国,CN,山东省,370000,德州市,371400,,,,,
中国,CN,山东省,370000,聊城市,371500,,,,,
中国,CN,山东省,370000,滨州市,371600,,,,,
中国,CN,山东省,370000,菏泽市,371700,,,,,
中国,CN,河南省,410000,郑州市,410100,,,,,
中国,CN,河南省,410000,开封市,410200,,,,,
中国,CN,河南省,410000,洛阳市,410300,,,,,
中国,CN,河南省,410000,平顶山市,410400,,,,,
中国,CN,河南省,410000,安阳市,410500,,,,,
中国,CN,河南省,410000,鹤壁市,410600,,,,,
中国,CN,河南省,410000,新乡市,410700,,,,,
中国,CN,河南省,410000,焦作市,410800,,,,,
中国,CN,河南省,410000,濮阳市,410900,,,,,
中国,CN,河南省,410000,许昌市,411000,,,,,
中国,CN,河南省,410000,漯河市,411100,,,,,
中国,CN,河南省,410000,三门峡市,411200,,,,,
中国,CN,河南省,410000,南阳市,411300,,,,,
中国,CN,河南省,410000,商丘市,411400,,,,,
中国,CN,河南省,410000,信阳市,411500,,,,,
中国,CN,河南省,410000,周口市,411600,,,,,
中国,CN,河南省,410000,驻马店市,411700,,,,,
中国,CN,河南省,410000,济源市,419001,,,,,
中国,CN,湖北省,420000,武汉市,420100,,,,,
中国,CN,湖北省,420000,黄石市,420200,,,,,
中国,CN,湖北省,420000,十堰市,420300,,,,,
中国,CN,湖北省,420000,宜昌市,420500,,,,,
中国,CN,湖北省,420000,襄阳市,420600,,,,,
中国,CN,湖北省,420000,鄂州市,420700,,,,,
中国,CN,湖北省,420000,荆门市,420800,,,,,
中国,CN,湖北省,420000,孝感市,420900,,,,,
中国,CN,湖北省,420000,荆州市,421000,,,,,
中国,CN,湖北省,420000,黄冈市,421100,,,,,
中国,CN,湖北省,420000,咸宁市,421200,,,,,
中国,CN,湖北省,420000,随州市,421300,,,,,
中国,CN,湖北省,420000,恩施土家族苗族自治州,422800,,,,,
中国,CN,湖北省,420000,仙桃市,429004,,,,,
中国,CN,湖北省,420000,潜江市,429005,,,,,
中国,CN,湖北省,420000,天门市,429006,,,,,
中国,CN,湖北省,420000,神农架林区,429021,,,,,
中国,CN,湖南省,430000,长沙市,430100,,,,,
中国,CN,湖南省,430000,株洲市,430200,,,,,
中国,CN,湖南省,430000,湘潭市,430300,,,,,
中国,CN,湖南省,430000,衡阳市,430400,,,,,
中国,CN,湖南省,430000,邵阳市,430500,,,,,
中国,CN,湖南省,430000,岳阳市,430600,,,,,
中国,CN,湖南省,430000,常德市,430700,,,,,
中国,CN,湖南省,430000,张家界市,430800,,,,,
中国,CN,湖南省,430000,益阳市,430900,,,,,
中国,CN,湖南省,430000,郴州市,431000,,,,,
中国,CN,湖南省,430000,永州市,431100,,,,,
中国,CN,湖南省,430000,怀化市,431200,,,,,
中国,CN,湖南省,430000,娄底市,431300,,,,,
中国,CN,湖南省,430000,湘西土家族苗族自治州,433100,,,,,
中国,CN,广东省,440000,广州市,440100,,,,,
中国,CN,广东省,440000,韶关市,440200,,,,,
中国,CN,广东省,440000,深圳市,440300,,,,,
中国,CN,广东省,440000,珠海市,440400,,,,,
中国,CN,广东省,440000,汕头市,440500,,,,,
中国,CN,广东省,440000,佛山市,440600,,,,,
中国,CN,广东省,440000,江门市,440700,,,,,
中国,CN,广东省,440000,湛江市,440800,,,,,
中国,CN,广东省,440000,茂名市,440900,,,,,
中国,CN,广东省,440000,肇庆市,441200,,,,,
中国,CN,广东省,440000,惠州市,441300,,,,,
中国,CN,广东省,440000,梅州市,441400,,,,,
中国,CN,广东省,440000,汕尾市,441500,,,,,
中国,CN,广东省,440000,河源市,441600,,,,,
中国,CN,广东省,440000,阳江市,441700,,,,,
中国,CN,广东省,440000,清远市,441800,,,,,
中国,CN,广东省,440000,东莞市,441900,,,,,
中国,CN,广东省,440000,中山市,442000,,,,,
中国,CN,广东省,440000,潮州市,445100,,,,,
中国,CN,广东省,440000,揭阳市,445200,,,,,
中国,CN,广东省,440000,云浮市,445300,,,,,
中国,CN,广西壮族自治区,450000,南宁市,450100,,,,,
中国,CN,广西壮族自治区,450000,柳州市,450200,,,,,
中国,CN,广西壮族自治区,450000,桂林市,450300,,,,,
中国,CN,广西壮族自治区,450000,梧州市,450400,,,,,
中国,CN,广西壮族自治区,450000,北海市,450500,,,,,
中国,CN,广西壮族自治区,450000,防城港市,450600,,,,,
中国,CN,广西壮族自治区,450000,钦州市,450700,,,,,
中国,CN,广西壮族自治区,450000,贵港市,450800,,,,,
中国,CN,广西壮族自治区,450000,玉林市,450900,,,,,
中国,CN,广西壮族自治区,450000,百色市,451000,,,,,
中国,CN,广西壮族自治区,450000,贺州市,451100,,,,,
中国,CN,广西壮族自治区,450000,河池市,451200,,,,,
中国,CN,广西壮族自治区,450000,来宾市,451300,,,,,
中国,CN,广西壮族自治区,450000,崇左市,451400,,,,,
中国,CN,海南省,460000,海口市,460100,,,,,
中国,CN,海南省,460000,三亚市,460200,,,,,
中国,CN,海南省,460000,三沙市,460300,,,,,
中国,CN,海南省,460000,儋州市,460400,,,,,
中国,CN,海南省,460000,五指山市,469001,,,,,
中国,CN,海南省,460000,琼海市,469002,,,,,
中国,CN,海南省,460000,文昌市,469005,,,,,
中国,CN,海南省,460000,万宁市,469006,,,,,
中国,CN,海南省,460000,东方市,469007,,,,,
中国,CN,海南省,460000,定安县,469021,,,,,
中国,CN,海南省,460000,屯昌县,469022,,,,,
中国,CN,海南省,460000,澄迈县,469023,,,,,
中国,CN,海南省,460000,临高县,469024,,,,,
中国,CN,海南省,460000,白沙黎族自治县,469025,,,,,
中国,CN,海南省,460000,昌江黎族自治县,469026,,,,,
中国,CN,海南省,460000,乐东黎族自治县,469027,,,,,
中国,CN,海南省,460000,陵水黎族自治县,469028,,,,,
中国,CN,海南省,460000,保亭黎族苗族自治县,469029,,,,,
中国,CN,海南省,460000,琼中黎族苗族自治县,469030,,,,,
中国,CN,重庆,500000,重庆市,500100,,,,,
中国,CN,重庆,500000,城口县,500229,,,,,
中国,CN,重庆,500000,丰都县,500230,,,,,
中国,CN,重庆,500000,垫江县,500231,,,,,
中国,CN,重庆,500000,忠县,500233,,,,,
中国,CN,重庆,500000,云阳县,500235,,,,,
中国,CN,重庆,500000,奉节县,500236,,,,,
中国,CN,重庆,500000,巫山县,500237,,,,,
中国,CN,重庆,500000,巫溪县,500238,,,,,
中国,CN,重庆,500000,石柱土家族自治县,500240,,,,,
中国,CN,重庆,500000,秀山土家族苗族自治县,500241,,,,,
中国,CN,重庆,500000,酉阳土家族苗族自治县,500242,,,,,
中国,CN,重庆,500000,彭水苗族土家族自治县,500243,,,,,
中国,CN,四川省,510000,成都市,510100,,,,,
中国,CN,四川省,510000,自贡市,510300,,,,,
中国,CN,四川省,510000,攀枝花市,510400,,,,,
中国,CN,四川省,510000,泸州市,510500,,,,,
中国,CN,四川省,510000,德阳市,510600,,,,,
中国,CN,四川省,510000,绵阳市,510700,,,,,
中国,CN,四川省,510000,广元市,510800,,,,,
中国,CN,四川省,510000,遂宁市,510900,,,,,
中国,CN,四川省,510000,内江市,511000,,,,,
中国,CN,四川省,510000,乐山市,511100,,,,,
中国,CN,四川省,510000,南充市,511300,,,,,
中国,CN,四川省,510000,眉山市,511400,,,,,
中国,CN,四川省,510000,宜宾市,511500,,,,,
中国,CN,四川省,510000,广安市,511600,,,,,
中国,CN,四川省,510000,达州市,511700,,,,,
中国,CN,四川省,510000,雅安市,511800,,,,,
中国,CN,四川省,510000,巴中市,511900,,,,,
中国,CN,四川省,510000,资阳市,512000,,,,,
中国,CN,四川省,510000,阿坝藏族羌族自治州,513200,,,,,
中国,CN,四川省,510000,甘孜藏族自治州,513300,,,,,
中国,CN,四川省,510000,凉山彝族自治州,513400,,,,,
中国,CN,贵州省,520000,贵阳市,520100,,,,,
中国,CN,贵州省,520000,六盘水市,520200,,,,,
中国,CN,贵州省,520000,遵义市,520300,,,,,
中国,CN,贵州省,520000,安顺市,520400,,,,,
中国,CN,贵州省,520000,毕节市,520500,,,,,
中国,CN,贵州省,520000,铜仁市,520600,,,,,
中国,CN,贵州省,520000,黔西南布依族苗族自治州,522300,,,,,
中国,CN,贵州省,520000,黔东南苗族侗族自治州,522600,,,,,
中国,CN,贵州省,520000,黔南布依族苗族自治州,522700,,,,,
